State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
West Bengal,24 PARAGANAS NORTH,2009,AUTUMN,Rice,18746,42098
West Bengal,24 PARAGANAS NORTH,2009,KHARIF,Cotton(lint),162,985
West Bengal,24 PARAGANAS NORTH,2009,KHARIF,Dry ginger,277,489
West Bengal,24 PARAGANAS NORTH,2009,KHARIF,Jute,50888,888510
West Bengal,24 PARAGANAS NORTH,2009,KHARIF,Mesta,542,5404
West Bengal,24 PARAGANAS NORTH,2009,KHARIF,Sunflower,1575,2021
West Bengal,24 PARAGANAS NORTH,2009,KHARIF,Urad,854,767
West Bengal,24 PARAGANAS NORTH,2009,RABI,Arhar/Tur,4,4
West Bengal,24 PARAGANAS NORTH,2009,RABI,Gram,648,626
West Bengal,24 PARAGANAS NORTH,2009,RABI,Khesari,831,828
West Bengal,24 PARAGANAS NORTH,2009,RABI,Linseed,139,32
West Bengal,24 PARAGANAS NORTH,2009,RABI,Masoor,4181,2368
West Bengal,24 PARAGANAS NORTH,2009,RABI,Peas & beans (Pulses),701,446
West Bengal,24 PARAGANAS NORTH,2009,RABI,Rapeseed &Mustard,31545,25832
West Bengal,24 PARAGANAS NORTH,2009,RABI,Wheat,5810,12484
West Bengal,24 PARAGANAS NORTH,2009,SUMMER,Moong(Green Gram),286,95
West Bengal,24 PARAGANAS NORTH,2009,SUMMER,Rice,89345,276187
West Bengal,24 PARAGANAS NORTH,2009,ANNUAL,Dry chillies,4034,8520
West Bengal,24 PARAGANAS NORTH,2009,ANNUAL,Groundnut,1030,1662
West Bengal,24 PARAGANAS NORTH,2009,ANNUAL,Potato,5981,126037
West Bengal,24 PARAGANAS NORTH,2009,ANNUAL,Sesamum,5852,6266
West Bengal,24 PARAGANAS NORTH,2009,ANNUAL,Sugarcane,317,23086
West Bengal,24 PARAGANAS NORTH,2009,ANNUAL,Turmeric,1012,3231
West Bengal,24 PARAGANAS NORTH,2009,WINTER,Rice,157096,368303
West Bengal,24 PARAGANAS NORTH,2010,AUTUMN,Rice,18148,43726
West Bengal,24 PARAGANAS NORTH,2010,KHARIF,Cotton(lint),137,445
West Bengal,24 PARAGANAS NORTH,2010,KHARIF,Dry ginger,270,645
West Bengal,24 PARAGANAS NORTH,2010,KHARIF,Jute,48189,821829
West Bengal,24 PARAGANAS NORTH,2010,KHARIF,Maize,3,6
West Bengal,24 PARAGANAS NORTH,2010,KHARIF,Mesta,1750,26495
West Bengal,24 PARAGANAS NORTH,2010,KHARIF,Sunflower,1580,2029
West Bengal,24 PARAGANAS NORTH,2010,KHARIF,Urad,1730,1454
West Bengal,24 PARAGANAS NORTH,2010,RABI,Arhar/Tur,40,44
West Bengal,24 PARAGANAS NORTH,2010,RABI,Gram,819,811
West Bengal,24 PARAGANAS NORTH,2010,RABI,Khesari,685,573
West Bengal,24 PARAGANAS NORTH,2010,RABI,Linseed,15,6
West Bengal,24 PARAGANAS NORTH,2010,RABI,Masoor,6751,4173
West Bengal,24 PARAGANAS NORTH,2010,RABI,Peas & beans (Pulses),1109,882
West Bengal,24 PARAGANAS NORTH,2010,RABI,Rapeseed &Mustard,32263,34868
West Bengal,24 PARAGANAS NORTH,2010,RABI,Wheat,7444,16214
West Bengal,24 PARAGANAS NORTH,2010,SUMMER,Moong(Green Gram),297,91
West Bengal,24 PARAGANAS NORTH,2010,SUMMER,Rice,96675,283954
West Bengal,24 PARAGANAS NORTH,2010,ANNUAL,Arecanut,1597,8189
West Bengal,24 PARAGANAS NORTH,2010,ANNUAL,Dry chillies,3244,5551
West Bengal,24 PARAGANAS NORTH,2010,ANNUAL,Groundnut,1384,2216
West Bengal,24 PARAGANAS NORTH,2010,ANNUAL,Potato,5747,127290
West Bengal,24 PARAGANAS NORTH,2010,ANNUAL,Sesamum,9343,9526
West Bengal,24 PARAGANAS NORTH,2010,ANNUAL,Sugarcane,503,38390
West Bengal,24 PARAGANAS NORTH,2010,ANNUAL,Turmeric,924,3033
West Bengal,24 PARAGANAS NORTH,2010,WINTER,Rice,162284,389682
West Bengal,24 PARAGANAS NORTH,2011,AUTUMN,Rice,17719,46279
West Bengal,24 PARAGANAS NORTH,2011,KHARIF,Cotton(lint),137,445
West Bengal,24 PARAGANAS NORTH,2011,KHARIF,Dry ginger,312,674
West Bengal,24 PARAGANAS NORTH,2011,KHARIF,Jute,60388,1118763
West Bengal,24 PARAGANAS NORTH,2011,KHARIF,Mesta,863,11503
West Bengal,24 PARAGANAS NORTH,2011,KHARIF,Sunflower,1691,1721
West Bengal,24 PARAGANAS NORTH,2011,KHARIF,Urad,2190,1636
West Bengal,24 PARAGANAS NORTH,2011,RABI,Arhar/Tur,35,17
West Bengal,24 PARAGANAS NORTH,2011,RABI,Gram,713,481
West Bengal,24 PARAGANAS NORTH,2011,RABI,Khesari,822,730
West Bengal,24 PARAGANAS NORTH,2011,RABI,Linseed,28,8
West Bengal,24 PARAGANAS NORTH,2011,RABI,Masoor,8840,4331
West Bengal,24 PARAGANAS NORTH,2011,RABI,Peas & beans (Pulses),855,592
West Bengal,24 PARAGANAS NORTH,2011,RABI,Rapeseed &Mustard,33100,27673
West Bengal,24 PARAGANAS NORTH,2011,RABI,Wheat,7043,16885
West Bengal,24 PARAGANAS NORTH,2011,SUMMER,Moong(Green Gram),148,55
West Bengal,24 PARAGANAS NORTH,2011,SUMMER,Rice,89707,271884
West Bengal,24 PARAGANAS NORTH,2011,ANNUAL,Arecanut,1627,1775
West Bengal,24 PARAGANAS NORTH,2011,ANNUAL,Dry chillies,3293,7984
West Bengal,24 PARAGANAS NORTH,2011,ANNUAL,Groundnut,1673,2926
West Bengal,24 PARAGANAS NORTH,2011,ANNUAL,Potato,6619,113971
West Bengal,24 PARAGANAS NORTH,2011,ANNUAL,Sesamum,10542,12297
West Bengal,24 PARAGANAS NORTH,2011,ANNUAL,Sugarcane,403,27386
West Bengal,24 PARAGANAS NORTH,2011,ANNUAL,Turmeric,1042,3407
West Bengal,24 PARAGANAS NORTH,2011,WINTER,Rice,170626,407810
West Bengal,24 PARAGANAS NORTH,2012,AUTUMN,Rice,20861,44993
West Bengal,24 PARAGANAS NORTH,2012,KHARIF,Cotton(lint),2980,834
West Bengal,24 PARAGANAS NORTH,2012,KHARIF,Dry ginger,336,748
West Bengal,24 PARAGANAS NORTH,2012,KHARIF,Garlic,126,954
West Bengal,24 PARAGANAS NORTH,2012,KHARIF,Jute,55339,981028
West Bengal,24 PARAGANAS NORTH,2012,KHARIF,Mesta,295,4215
West Bengal,24 PARAGANAS NORTH,2012,KHARIF,Sunflower,1456,1819
West Bengal,24 PARAGANAS NORTH,2012,KHARIF,Urad,836,808
West Bengal,24 PARAGANAS NORTH,2012,RABI,Arhar/Tur,9,10
West Bengal,24 PARAGANAS NORTH,2012,RABI,Gram,510,432
West Bengal,24 PARAGANAS NORTH,2012,RABI,Khesari,556,537
West Bengal,24 PARAGANAS NORTH,2012,RABI,Linseed,10,3
West Bengal,24 PARAGANAS NORTH,2012,RABI,Masoor,6537,4259
West Bengal,24 PARAGANAS NORTH,2012,RABI,Peas & beans (Pulses),645,459
West Bengal,24 PARAGANAS NORTH,2012,RABI,Rapeseed &Mustard,33208,34481
West Bengal,24 PARAGANAS NORTH,2012,RABI,Safflower,140,382
West Bengal,24 PARAGANAS NORTH,2012,RABI,Wheat,6966,17849
West Bengal,24 PARAGANAS NORTH,2012,SUMMER,Groundnut,2214,3859
West Bengal,24 PARAGANAS NORTH,2012,SUMMER,Maize,58,195
West Bengal,24 PARAGANAS NORTH,2012,SUMMER,Moong(Green Gram),59,38
West Bengal,24 PARAGANAS NORTH,2012,SUMMER,Rice,95528,294718
West Bengal,24 PARAGANAS NORTH,2012,SUMMER,Sesamum,11818,11901
West Bengal,24 PARAGANAS NORTH,2012,ANNUAL,Arecanut,1673,4454
West Bengal,24 PARAGANAS NORTH,2012,ANNUAL,Dry chillies,4987,8375
West Bengal,24 PARAGANAS NORTH,2012,ANNUAL,Potato,10706,233062
West Bengal,24 PARAGANAS NORTH,2012,ANNUAL,Sugarcane,447,49358
West Bengal,24 PARAGANAS NORTH,2012,ANNUAL,Turmeric,1285,3742
West Bengal,24 PARAGANAS NORTH,2012,WINTER,Rice,157175,404941
West Bengal,24 PARAGANAS NORTH,2013,AUTUMN,Rice,22083,59411
West Bengal,24 PARAGANAS NORTH,2013,KHARIF,Cotton(lint),398,358
West Bengal,24 PARAGANAS NORTH,2013,KHARIF,Dry ginger,347,748
West Bengal,24 PARAGANAS NORTH,2013,KHARIF,Jute,54250,920163
