State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Production_N
West Bengal,DARJEELING,2011,KHARIF,Maize,14558,30808,14557.999
West Bengal,DINAJPUR UTTAR,2012,SUMMER,Maize,3501,22757,3500.999
West Bengal,DINAJPUR UTTAR,2018,ANNUAL,Sugarcane,13,1331,12.999
West Bengal,24 PARAGANAS SOUTH,2016,KHARIF,Sunflower,4787,5270,4786.999
West Bengal,DARJEELING,2011,KHARIF,Moong(Green Gram),50,23,49.999
West Bengal,COOCHBEHAR,2013,AUTUMN,Sesamum,170,68,169.999
West Bengal,DARJEELING,2011,RABI,Rapeseed &Mustard,160,82,159.999
West Bengal,MURSHIDABAD,2018,RABI,Barley,359,539,358.999
West Bengal,HOWRAH,2015,SUMMER,Rice,41318,136208,41317.999
West Bengal,DINAJPUR UTTAR,2019,WINTER,Sesamum,145,137,144.999
West Bengal,COOCHBEHAR,2009,RABI,Rapeseed &Mustard,23761,9434,23760.999
West Bengal,HOOGHLY,2013,ANNUAL,Turmeric,27,55,26.999
West Bengal,JALPAIGURI,2014,KHARIF,Urad,1040,498,1039.999
West Bengal,COOCHBEHAR,2016,AUTUMN,Groundnut,310,129,309.999
West Bengal,DARJEELING,2018,SUMMER,Maize,1350,4523,1349.999
West Bengal,JALPAIGURI,2015,RABI,Small millets,30,15,29.999
West Bengal,24 PARAGANAS SOUTH,2018,SUMMER,Rice,72967,231508,72966.999
West Bengal,MALDAH,2014,RABI,Groundnut,3,8,2.999
West Bengal,BANKURA,2012,KHARIF,Garlic,10,100,9.999
West Bengal,HOOGHLY,2019,KHARIF,Sunflower,35,57,34.999
West Bengal,PURULIA,2017,SUMMER,Sesamum,51,28,50.999
West Bengal,MALDAH,2019,KHARIF,Jute,22195,382438,22194.999
West Bengal,COOCHBEHAR,2009,RABI,Masoor,989,313,988.999
West Bengal,HOOGHLY,2015,ANNUAL,Sugarcane,27,1028,26.999
West Bengal,DINAJPUR DAKSHIN,2012,RABI,Rapeseed &Mustard,22251,13188,22250.999
West Bengal,MALDAH,2016,AUTUMN,Rice,3689,8547,3688.999
West Bengal,BARDHAMAN,2014,KHARIF,Soyabean,22,17,21.999
West Bengal,JALPAIGURI,2013,RABI,Maize,45,152,44.999
West Bengal,PURULIA,2010,ANNUAL,Sugarcane,258,13676,257.999
West Bengal,24 PARAGANAS SOUTH,2012,ANNUAL,Dry chillies,4847,10715,4846.999
West Bengal,MURSHIDABAD,2017,RABI,Groundnut,238,764,237.999
West Bengal,MURSHIDABAD,2017,RABI,Linseed,121,36,120.999
West Bengal,PURULIA,2010,KHARIF,Jowar,74,24,73.999
West Bengal,MEDINIPUR WEST,2011,RABI,Masoor,246,145,245.999
West Bengal,BANKURA,2012,ANNUAL,Turmeric,295,449,294.999
West Bengal,JALPAIGURI,2018,KHARIF,Mesta,162,1616,161.999
West Bengal,BIRBHUM,2019,RABI,Barley,28,36,27.999
West Bengal,MURSHIDABAD,2018,RABI,Khesari,9157,10335,9156.999
West Bengal,HOWRAH,2011,RABI,Gram,2,1,1.999
West Bengal,COOCHBEHAR,2015,RABI,Linseed,1008,292,1007.999
West Bengal,COOCHBEHAR,2014,AUTUMN,Sesamum,165,68,164.999
West Bengal,JALPAIGURI,2019,KHARIF,Moong(Green Gram),73,50,72.999
West Bengal,DINAJPUR UTTAR,2009,SUMMER,Rice,88494,263873,88493.999
West Bengal,24 PARAGANAS SOUTH,2012,RABI,Barley,17,15,16.999
West Bengal,NADIA,2018,RABI,Potato,5034,153990,5033.999
West Bengal,MEDINIPUR WEST,2019,RABI,Horse-gram,512,270,511.999
West Bengal,PURULIA,2016,SUMMER,Maize,459,749,458.999
West Bengal,BANKURA,2010,RABI,Linseed,78,16,77.999
West Bengal,COOCHBEHAR,2015,RABI,Rapeseed &Mustard,10424,5618,10423.999
West Bengal,JALPAIGURI,2014,RABI,Maize,45,152,44.999
West Bengal,BIRBHUM,2018,RABI,Barley,24,31,23.999
West Bengal,DARJEELING,2012,RABI,Peas & beans (Pulses),9,7,8.999
West Bengal,24 PARAGANAS NORTH,2009,KHARIF,Urad,854,767,853.999
West Bengal,MEDINIPUR WEST,2014,KHARIF,Sannhamp,155,884,154.999
West Bengal,BANKURA,2016,KHARIF,Sunflower,246,363,245.999
West Bengal,MEDINIPUR WEST,2012,KHARIF,Other Kharif pulses,395,336,394.999
West Bengal,DINAJPUR UTTAR,2011,RABI,Safflower,55,36,54.999
West Bengal,MEDINIPUR WEST,2012,ANNUAL,Sugarcane,2206,243492,2205.999
West Bengal,24 PARAGANAS SOUTH,2016,SUMMER,Moong(Green Gram),11552,7001,11551.999
West Bengal,PURULIA,2010,KHARIF,Small millets,490,137,489.999
West Bengal,HOWRAH,2013,SUMMER,Sesamum,1709,1587,1708.999
West Bengal,DARJEELING,2009,KHARIF,Dry ginger,2034,6197,2033.999
West Bengal,BIRBHUM,2015,RABI,Khesari,1535,1999,1534.999
West Bengal,MEDINIPUR WEST,2014,SUMMER,Rice,156372,499925,156371.999
West Bengal,BANKURA,2010,KHARIF,Bajra,3,2,2.999
West Bengal,DARJEELING,2014,SUMMER,Maize,395,1244,394.999
West Bengal,PURULIA,2015,KHARIF,Sannhamp,10,40,9.999
West Bengal,BARDHAMAN,2014,SUMMER,Rice,230750,744206,230749.999
West Bengal,HOWRAH,2013,SUMMER,Rice,49793,79696,49792.999
West Bengal,DARJEELING,2018,RABI,Masoor,27,22,26.999
West Bengal,MALDAH,2017,SUMMER,Maize,8630,6559,8629.999
West Bengal,BIRBHUM,2009,KHARIF,Dry ginger,294,619,293.999
West Bengal,JALPAIGURI,2010,RABI,Moong(Green Gram),53,31,52.999
West Bengal,MALDAH,2012,ANNUAL,Turmeric,1395,2370,1394.999
West Bengal,BARDHAMAN,2011,ANNUAL,Sesamum,25459,21420,25458.999
West Bengal,MURSHIDABAD,2015,RABI,Moong(Green Gram),25,45,24.999
West Bengal,COOCHBEHAR,2016,SUMMER,Sesamum,147,81,146.999
West Bengal,COOCHBEHAR,2009,RABI,Khesari,1091,601,1090.999
West Bengal,MURSHIDABAD,2015,RABI,Gram,4399,4351,4398.999
West Bengal,DINAJPUR UTTAR,2009,ANNUAL,Dry chillies,3112,1774,3111.999
West Bengal,HOWRAH,2019,SUMMER,Groundnut,6103,13208,6102.999
West Bengal,COOCHBEHAR,2015,RABI,Maize,4075,23818,4074.999
West Bengal,MEDINIPUR EAST,2016,KHARIF,Jute,521,9758,520.999
West Bengal,JALPAIGURI,2015,WINTER,Rice,176016,399148,176015.999
West Bengal,MALDAH,2011,RABI,Linseed,342,183,341.999
West Bengal,COOCHBEHAR,2009,SUMMER,Moong(Green Gram),417,139,416.999
West Bengal,24 PARAGANAS NORTH,2019,RABI,Linseed,11,5,10.999
West Bengal,DINAJPUR UTTAR,2013,SUMMER,Sesamum,724,304,723.999
West Bengal,BIRBHUM,2014,ANNUAL,Sugarcane,654,64987,653.999
West Bengal,BIRBHUM,2018,RABI,Other  Rabi pulses,95,28,94.999
West Bengal,24 PARAGANAS SOUTH,2019,KHARIF,Cotton(lint),615,1574,614.999
West Bengal,BANKURA,2014,SUMMER,Groundnut,462,799,461.999
West Bengal,NADIA,2013,RABI,Gram,4264,3144,4263.999
West Bengal,MEDINIPUR WEST,2018,RABI,Potato,61301,1224122,61300.999
West Bengal,MEDINIPUR WEST,2013,ANNUAL,Turmeric,1375,1799,1374.999
West Bengal,NADIA,2010,ANNUAL,Tobacco,45,38,44.999
West Bengal,BARDHAMAN,2012,KHARIF,Urad,257,231,256.999
West Bengal,BARDHAMAN,2012,KHARIF,Moong(Green Gram),35,16,34.999
West Bengal,MEDINIPUR WEST,2011,KHARIF,Niger seed,55,22,54.999
West Bengal,PURULIA,2017,RABI,Groundnut,22,19,21.999
West Bengal,24 PARAGANAS SOUTH,2014,RABI,Peas & beans (Pulses),1442,1869,1441.999
West Bengal,BARDHAMAN,2011,KHARIF,Jute,13800,229588,13799.999
West Bengal,COOCHBEHAR,2012,KHARIF,Mesta,272,2305,271.999
West Bengal,COOCHBEHAR,2013,RABI,Urad,3365,2524,3364.999
West Bengal,HOOGHLY,2019,RABI,Arhar/Tur,101,120,100.999
West Bengal,HOWRAH,2017,SUMMER,Groundnut,5308,15508,5307.999
West Bengal,BIRBHUM,2010,RABI,Khesari,1399,1538,1398.999
West Bengal,COOCHBEHAR,2012,ANNUAL,Dry chillies,7740,17170,7739.999
West Bengal,MURSHIDABAD,2019,AUTUMN,Groundnut,32,47,31.999
West Bengal,MEDINIPUR EAST,2019,RABI,Masoor,12,15,11.999
West Bengal,24 PARAGANAS NORTH,2010,RABI,Arhar/Tur,40,44,39.999
West Bengal,JALPAIGURI,2009,ANNUAL,Tobacco,476,307,475.999
West Bengal,BANKURA,2012,SUMMER,Moong(Green Gram),11,9,10.999
West Bengal,BARDHAMAN,2009,RABI,Masoor,1041,863,1040.999
West Bengal,MEDINIPUR WEST,2011,RABI,Gram,13,10,12.999
West Bengal,BARDHAMAN,2012,RABI,Peas & beans (Pulses),22,16,21.999
West Bengal,MURSHIDABAD,2015,KHARIF,Sunflower,75,83,74.999
West Bengal,DINAJPUR DAKSHIN,2017,WINTER,Rice,158532,440334,158531.999
West Bengal,JALPAIGURI,2010,KHARIF,Dry ginger,1307,2997,1306.999
West Bengal,BARDHAMAN,2012,RABI,Linseed,19,3,18.999
West Bengal,BANKURA,2015,RABI,Rapeseed &Mustard,8186,6687,8185.999
West Bengal,BANKURA,2013,ANNUAL,Tobacco,11,3,10.999
West Bengal,DINAJPUR DAKSHIN,2013,ANNUAL,Potato,4841,86286,4840.999
West Bengal,BANKURA,2013,KHARIF,Cotton(lint),332,242,331.999
West Bengal,JALPAIGURI,2014,KHARIF,Sunflower,7,10,6.999
West Bengal,DINAJPUR DAKSHIN,2009,RABI,Masoor,107,58,106.999
West Bengal,MEDINIPUR EAST,2011,KHARIF,Cotton(lint),109,763,108.999
West Bengal,PURULIA,2015,SUMMER,Rice,105,281,104.999
West Bengal,DINAJPUR DAKSHIN,2015,RABI,Khesari,3,3,2.999
West Bengal,DINAJPUR DAKSHIN,2013,RABI,Masoor,196,98,195.999
West Bengal,MURSHIDABAD,2010,RABI,Barley,562,468,561.999
West Bengal,JALPAIGURI,2009,WINTER,Rice,182997,275572,182996.999
West Bengal,BARDHAMAN,2015,RABI,Khesari,510,664,509.999
West Bengal,MALDAH,2017,RABI,Rapeseed &Mustard,33653,35740,33652.999
West Bengal,MEDINIPUR WEST,2018,KHARIF,Horse-gram,617,323,616.999
West Bengal,BANKURA,2018,SUMMER,Rice,40009,120562,40008.999
